Module Code,Title,Credits
BM4004,MEDICINE ,24
BM4011,CLINICAL AND ANATOMICAL SKILLS 1 ,15
BM4012,CLINICAL AND ANATOMICAL SKILLS 2 ,15
BM4013,OBSTETRICS AND GYNAECOLOGY ,9
BM4014,SURGERY ,24
BM4021,PROFESSIONAL COMPETENCIES 1 ,15
BM4022,PROFESSIONAL COMPETENCIES 2 ,15
BM4023,PROFESSIONAL COMPETENCIES 3 ,6
BM4024,PROFESSIONAL COMPETENCIES 4 ,12
BM4031,CLINICAL MEDICINE AND CLINICAL SKILLS ,6
BM4032,DRUG DELIVERY ,6
BM4034,MEDICINE 2 ,12
BM4041,"MAMMALIAN TISSUE ARCHITECTURE, STRUCTURE AND ",6
BM4042,BIOMEDICAL SCIENCE FINAL YEAR PROJECT PART 2 ,6
BM4043,PSYCHIATRY ,9
BM4044,SURGERY 2 ,12
BM4051,DIAGNOSTIC TECHNIQUES AND PRACTICES ,6
BM4053,MEDICINE 1 ,15
BM4054,OBSTETRICS AND GYNAECOLOGY ,9
BM4061,BIOMEDICAL SCIENCE FINAL YEAR PROJECT PART 1 ,6
BM4063,SURGERY 1 ,15
BM4064,PAEDIATRICS ,9
BM4071,COMMUNICATION AND INTERPRETING IN THE IRISH ,6
BM4074,PSYCHIATRY ,9
BM4084,PROFESSIONAL COMPETENCIES ,9
BM5053,INTRODUCTION TO PARTICIPATORY HEALTH RESEARCH FOR ,6
BM5054,PPI RESEARCH PROJECT AND TUTORIAL ,6
BM5055,METHODS IN PARTICIPATORY HEALTH RESEARCH I ,3
BM5056,METHODS IN PARTICIPATORY HEALTH RESEARCH II ,6
BM6001,LEARNING & TEACHING IN HEALTH PROFESSIONS ,12
BM6002,EDUCATION SUPPORT ,9
BM6003,CURRICULUM DEVELOPMENT AND DESIGN ,9
BM6004,RESEARCH IN HEALTH PROFESSIONS EDUCATION ,12
BM6005,RESEARCH DISSERTATION (PART I) ,15
BM6006,RESEARCH DISSERTATION (PART II) ,15
BM6011,METHODS IN PARTICIPATORY HEALTH RESEARCH ,6
BM6012,ASSESSMENT IN HEALTH PROFESSIONS EDUCATION ,9
BM6013,LEADERSHIP IN HEALTH PROFESSIONS EDUCATION ,9
BM6021,PUBLIC AND PATIENT INVOLVEMENT IN HEALTH RESEARCH ,6
BM6022,INTRODUCTION TO PARTICIPATORY HEALTH RESEARCH ,3
BM6023,PARTICIPATORY LEARNING AND ACTION FOR PUBLIC AND ,6
BM6031,PUBLIC HEALTH AND HEALTH SYSTEMS ,9
BM6032,ADVANCED PARTICIPATORY HEALTH RESEARCH ,6
BM6033,PUBLIC AND PATIENT INVOLVEMENT TRAINING SCHOOL ,3
BM6041,PUBLIC HEALTH INTERVENTIONS ,9
BM6042,MONITORING AND EVALUATION IN PUBLIC HEALTH ,9
BM6043,PUBLIC HEALTH RESEARCH PROJECT ,30
BM6051,PUBLIC HEALTH RESEARCH AND DATA ANALYSIS ,9
BM6052,GLOBAL HEALTH AND SUSTAINABLE DEVELOPMENT ,9
BM6062,PUBLIC HEALTH PRACTICUM ,15
BR4032,BROADENING YOUR LEARNING BY EXPLORING CULTURAL ,6
BR4071,BROADENING: EXPLORING THE BRAIN AND ,6
BR4081,"BROADENING: ACTIVE BODY, ACTIVE MIND ",6
CP4001,Unrostered Clinical Placement 1 ,6
CP4002,Unrostered Clinical Placement 2 ,6
CP4003,Unrostered Clinical Placement 3 ,6
CP4004,Unrostered Clinical Placement 4 ,6
CP4005,Unrostered Clinical Placement 5 ,6
CP4006,Unrostered Clinical Placement 6 ,30
CP4007,Unrostered Clinical Placement 7 ,9
CP4008,PRACTICE PLACEMENT 8 ,15
CP4011,CLINICAL PLACEMENT 1 (MIDWIFERY) ,6
CP4012,CLINICAL PLACEMENT 2 (MIDWIFERY) ,6
CP4013,CLINICAL PLACEMENT 3 (MIDWIFERY) ,6
CP4014,CLINICAL PLACEMENT 4 (MIDWIFERY) ,6
CP4015,CLINICAL PLACEMENT 5 (MIDWIFERY) ,6
CP4016,CLINICAL PLACEMENT 6 (MIDWIFERY) ,30
CP4017,CLINICAL PLACEMENT 7 (MIDWIFERY) ,9
CP4088,PRACTICE PLACEMENT MIDWIFERY 7 ,15
CP4097,PRACTICE PLACEMENT 7 ,15
CP4098,PRACTICE PLACEMENT MIDWIFERY 8 ,15
CP4115,PRACTICE PLACEMENT 4 ,3
CP4117,PRACTICE PLACEMENT MIDWIFERY 6 ,6
CP4125,PRACTICE PLACEMENT 5 ,30
CP4126,PRACTICE PLACEMENT 6 ,6
CP4135,PRACTICE PLACEMENT MIDWIFERY 4 ,3
CP4145,PRACTICE PLACEMENT MIDWIFERY 5 ,30
CP4171,PRACTICE PLACEMENT 1 ,6
CP4172,PRACTICE PLACEMENT 2 ,3
CP4182,PRACTICE PLACEMENT MIDWIFERY 1 ,6
CP4193,PRACTICE PLACEMENT 3 ,3
CP4232,PRACTICE PLACEMENT MIDWIFERY 2 ,3
CP4524,PRACTICE PLACEMENT MIDWIFERY 3 ,3
CT3001,COMMUNICATION AND LIFESKILLS ,12
CT4001,ENQUIRY IN HEALTHCARE 1 ,6
CT4002,ENQUIRY IN HEALTH CARE 2 ,6
CT4007,ALLIED HEALTH RESEARCH PROJECT 1 ,9
CT4008,ALLIED HEALTH RESEARCH PROJECT 2 ,6
CT4011,PREPARATION FOR PRACTICE EDUCATION (PPP1) ,3
CT4012,INNOVATION IN MANAGEMENT FOR HEALTH AND SOCIAL ,6
CT4014,ENGAGING THROUGH COMPLEXITY (PPP2) ,6
CT5001,OTHER LEARNING 1 (CLINICAL THERAPIES) ,9
CT5002,OTHER LEARNING 3 (CLINICAL THERAPIES) ,9
CT5011,OTHER LEARNING 2 (CLINICAL THERAPIES) ,9
CT5012,OTHER LEARNING 4 (CLINICAL THERAPIES) ,9
CT5021,CONCEPTS AND CONTROVERSIES IN GLOBAL HEALTH ,9
CT5031,RESEARCH METHODS FOR HEALTH ,12
CT6001,DISSERTATION 1 (CLINICAL THERAPIES) ,15
CT6002,DISSERTATION 2 (CLINICAL THERAPIES) ,15
CT6003,CLINICAL NUTRITION AND DIETETICS B ,6
CT6004,CLINICAL PLACEMENT 2 ,15
CT6011,MEETING COMPLEX NEEDS: ADVOCATING FOR CHANGE ,9
CT6013,CLINICAL PLACEMENT 1 ,12
CT6021,ENQUIRY IN HEALTHCARE 1 ,6
CT6022,ENQUIRY IN HEALTH CARE 2 ,6
CT6023,RESEARCH PROJECT 1 ,9
CT6031,PREPARATION FOR PRACTICE EDUCATION (PPP1) ,3
CT6032,RESEARCH PROJECT 3 ,6
CT6033,CLINICAL NUTRITION AND DIETETICS C ,6
CT6041,RESEARCH PROJECT 2 ,3
CT6042,INNOVATION IN MANAGEMENT FOR HEALTH AND SOCIAL ,6
CT6043,COMMUNITY PLACEMENT ,12
CT6051,FOOD AND NUTRITION THROUGHOUT LIFE ,6
CT6052,ENGAGING THROUGH COMPLEXITY (PPP2) ,6
CT6053,PUBLIC HEALTH AND COMMUNITY NUTRITION ,6
CT6061,DIETETIC ASSESSMENT AND PRACTICE ,6
CT6062,FOOD SERVICE THEORY AND PRACTICE ,6
CT6063,COMMUNITY LED PLACEMENT ,12
CT6071,NUTRITION COMMUNICATION AND EDUCATION ,6
CT6072,MEDICAL NUTRITION THERAPY ,6
CT6082,CLINICAL NUTRITION AND DIETETICS A ,6
CT6102,APPLIED BEHAVIOUR CHANGE ,9
CT6112,INNOVATION IN HEALTH & SOCIAL CARE ,9
DN5101,DANCE TECHNIQUE 1 ,6
DN5102,DANCE TECHNIQUE 2 ,6
DN5103,CHOREOGRAPHY 1 ,6
DN5104,CHOREOGRAPHY 2 ,6
DN5105,DANCE IN EDUCATION ,12
DN5106,DANCE APPRECIATION ,6
DN5107,CULTURAL STUDIES ,6
DN5108,RESEARCH METHODS AND PROJECT PROPOSALS ,6
DN5109,PROJECT PROPOSALS ,6
DN6002,MASTER OF ARTS IN DANCE THESIS 2 ,30
ED5001,INTRODUCTION TO DIGITAL APPLICATIONS ,6
ED5102,DIGITAL PUBLISHING TO THE WEB ,6
ED5111,DIGITAL MEDIA AND LEARNING ,6
ED5112,PEDAGOGICAL IMPLICATION OF DIGITAL MEDIA ,6
ED5113,DIGITAL VIDEO PRODUCTION ,6
ED5121,PROJECT 1 ,6
ED5122,PROJECT 2 ,6
ED5123,PROJECT 3 ,6
EJ4106,PROJECT 1 (PHYSICAL EDUCATION) ,6
EJ4107,PROJECT 2 (PHYSICAL EDUCATION) ,6
EJ4108,PROJECT 3 ,3
EJ4116,PROJECT 1 (RESEARCH METHODS) ,3
EJ4117,PROJECT 2 (PHYSICAL EDUCATION) ,3
EJ4207,PROJECT 1 (BIOLOGICAL SCIENCE) ,6
EJ4208,PROJECT 2 (BIOLOGICAL SCIENCE) ,6
EM4004,SUBJECT PEDAGOGICS 1 (MATHEMATICS) ,6
EM4006,SUBJECT PEDAGOGICS 2 (MATHEMATICS) ,6
EN2001,INTRODUCTION TO CHILDREN WITH SPECIAL NEEDS ,6
EN2002,INTRODUCTION TO SOCIAL THEORY AND THE SOCIOLOGY ,6
EN2003,HEALTH AND SAFETY ISSUES FOR CARERS OF CHILDREN ,6
EN2004,"PHYSICAL ACTIVITIES, HEALTH AND LEISURE ACTIVITIES ",6
EN2013,WORKING WITH PARENTS AND GUARDIANS AND ,6
EN2014,THE CHILD WITH SPECIAL NEEDS: OVERVIEW OF LANGUAGE ,6
EN2023,EMPLOYMENT PRACTICE (SPECIAL NEEDS PROGRAMME) ,6
EN2031,MOTIVATING CHILDREN WITH SPECIAL NEEDS ,6
EN2052,"THE ROLE OF POLICY MAKERS, STATE AND VOLUNTARY ",6
EN3013,"HOME, SCHOOL AND COMMUNITY LIAISON FOR CHILDREN ",6
EN3014,PHYSICAL AND LEISURE ACTIVITIES FOR CHILDREN WITH ,6
EN3020,FOUNDATION SKILLS ,6
EN3023,PROFESSIONAL ROLES AND PRACTICES: WORKING WITH ,6
EN3024,SPEECH AND COMMUNICATION ISSUES FOR CHILDREN ,6
EN3030,RESEARCH METHODS ,6
EN3033,EMPLOYMENT PRACTICE ,6
EN3034,PROJECT 2 ,6
EN3043,PROJECT 1 ,6
EN3051,EXPERIENTIAL GROUP WORK AND GROUP PROCESSES IN ,6
EN3052,"SUBSTANCE USE: COMMUNITY, SOCIAL AND POLICY ",6
EN3061,SUBSTANCE USE: THEORETICAL FOUNDATIONS ,6
EN3062,SUBSTANCES AND MENTAL HEALTH ,6
EN3071,MODELS OF INTERVENTIONS: THEORY AND PRACTICE 1 ,9
EN3072,MODELS OF INTERVENTIONS: THEORY AND PRACTICE 2 ,9
EN3081,RESEARCH AND REFLECTIVE PRACTICE 1 ,9
EN3082,RESEARCH AND REFLECTIVE PRACTICE 2 ,9
EN3091,INTRODUCTION TO CHILDREN WITH SPECIAL NEEDS ,6
EN3092,INCLUSIVE POLICIES FOR CHILDREN WITH SPECIAL ,6
EN3131,SOCIAL MODEL OF DISABILITY ,6
EN3132,HEALTH AND SAFETY FOR THE SPECIAL NEEDS SECTOR ,6
EN3142,KEY THEMES IN SPECIAL NEEDS HEALTH EDUCATION ,6
EN3182,MENTAL HEALTH 1: WELL-BEING AND POSITIVE MENTAL ,18
EN4001,INTRODUCTION TO TEACHING ,6
EN4002,INTROD TO PRINCIPLES AND PRACTICE OF PRIMARY EDUC ,6
EN4003,THE PLANNING AND MGT OF CLASSROOM LEARNING ,6
EN4004,INTRODUCTION TO REFLECTIVE PRACTICE ,3
EN4005,EDUCATION AND SOCIETY IN IRELAND ,6
EN4006,CURRICULUM STUDIES ,6
EN4007,STUDYING SCHOOL ORGANISATION ,6
EN4008,TEACHER AS PROFESSIONAL ,6
EN4012,HOW YOUNG PEOPLE LEARN ,6
EN4014,TECHNOLOGY AND SOCIETY ,3
EN4015,CURRICULUM AND POLICY STUDIES ,6
EN4016,RESPONDING TO DIVERSITY IN EDUCATION ,6
EN4017,UNDERSTANDING SCHOOLS ,6
EN4018,TEACHER AS PROFESSIONAL ,6
EN4021,LIFESKILLS ,6
EN4022,EDUCATIONAL TECHNOLOGY FOR TEACHING AND LEARNING ,6
EN4023,PLANNING FOR TEACHING AND LEARNING 1 ,6
EN4024,PLANNING FOR TEACHING AND LEARNING 2 ,3
EN4025,INCLUSIVE EDUCATION 1: CONTEMPORARY PERSPECTIVES ,6
EN4026,INCLUSIVE EDUCATION 2: SPECIAL EDUCATIONAL NEEDS ,6
EN4027,HEALTH PROMOTION IN EXERCISE AND HEALTH FITNESS ,6
EN4031,BECOMING A TEACHER: IDENTITY AND COMMUNICATION ,6
EN4032,UNDERSTANDING YOUNG PEOPLE AND HOW THEY LEARN ,6
EN4033,PLANNING FOR LEARNING ,6
EN4034,PREPARATION FOR SCHOOL PLACEMENT ,6
EN4035,CURRICULUM AND ASSESSMENT: POLICY AND PRACTICE ,6
EN4036,SUBJECT PEDAGOGY 2 (COMPUTER SCIENCE AND MATHS) ,6
EN4037,UNDERSTANDING SCHOOLS ,6
EN4041,CONTEMPORARY UNDERSTANDINGS AND THINKING ON ,6
EN4042,PROFESSIONAL DIGITAL COMPETENCE FOR TEACHING ,6
EN4043,UNDERSTANDING CLASSROOM PRACTICES ,6
EN4044,SUBJECT PEDAGOGY 1 (COMPUTER SCIENCE AND MATHS) ,6
EN4045,DIVERSITY AND SOCIAL JUSTICE IN EDUCATION: ,6
EN4046,DIVERSITY OF LEARNERS: INCLUSION AND SPECIAL ,6
EN4051,CONTEMPORARY UNDERSTANDINGS ON EDUCATION: ,6
EN4052,UNDERSTANDING YOUNG PEOPLE AND HOW THEY LEARN: ,6
EN4053,SUBJECT PEDAGOGY 1 (COMPUTER SCIENCE) ,3
EN4054,UNDERSTANDING CLASSROOM AND SCHOOL PRACTICES ,6
EN4056,SUBJECT PEDAGOGY 2 (COMPUTER SCIENCE) ,3
EN4063,SUBJECT PEDAGOGICS 1 (MATHEMATICS) ,3
EN4066,SUBJECT PEDAGOGY 2 (MATHEMATICS) ,3
EN4076,SUBJECT PEDAGOGICS 2 (ENGLISH) ,3
EN4083,SUBJECT PEDAGOGICS 1 (ENGLISH) ,3
EN4108,DIVERSITY AND EQUALITY IN EDUCATIONAL PRACTICE ,6
EN4901,GEOGRAPHY OF DEVELOPMENT ,6
EN4902,REGIONAL GEOGRAPHY ,6
EN4903,SOCIAL AND URBAN GEOGRAPHY ,6
EN4906,ECONOMIC GEOGRAPHY ,6
EN4908,HISTORICAL/CULTURAL GEOGRAPHY OF MODERN IRELAND ,6
EN4911,INTRODUCTION TO HUMAN GEOGRAPHY ,6
EN5001,PREPARATION FOR TEACHING PRACTICE 1 ,6
EN5002,CURRICULUM STUDIES ,6
EN5003,SUBJECT PEDAGOGICS 1 ,6
EN5004,SUBJECT PEDAGOGICS 2 ,6
EN5005,PEDAGOGY AND RESEARCH IN MATHEMATICS EDUCATION ,9
EN5011,PREPARATION FOR TEACHING PRACTICE 2 ,6
EN5013,FRAMEWORKS FOR MENTORING ,6
EN5014,IN-SCHOOL PROFESSIONAL DEVELOPMENT 2 ,6
EN5021,SUBJECT PEDAGOGICS ,6
EN5022,SCHOOL BASED ENQUIRY (PROFESSIONAL PRACTICE) ,6
EN5023,PROJECT 2 ,6
EN5024,PROJECT 1 ,6
EN5031,SECRETARIAL STUDIES 1 ,6
EN5032,SECRETARIAL STUDIES 2 ,6
EN5033,ICT IN TECHNOLOGY EDUCATION ,6
EN5043,PROJECT 2 ,6
EN5053,ACTION RESEARCH ,9
EN5062,"CURRICULUM DESIGN, IMPLEMENTATION AND EVALUATION ",6
EN5072,"TEACHING, LEARNING AND ASSESSMENT IN HIGHER ",9
EN5082,INNOVATION FOR LEARNING ,9
EN5092,IN-SCHOOL PROFESSIONAL DEVELOPMENT 1 ,6
EN5101,PRINCIPLES AND PRACTICES OF RES: QUANT AND QUAL ,6
EN5103,ACADEMIC WRITING 1 ,6
EN5104,RESEARCH METHODS IN PSYCHOTHERAPY ,6
EN5110,THERAPIST FACTORS IN PSYCHOTHERAPY ,6
EN5113,"PROFESSIONAL AND ORGANISATIONAL ISSUES, AND ",6
EN5114,ADVANCED THERAPIST FACTORS IN PSYCHOTHERAPY ,6
EN5120,CLIENT FACTORS THAT INFLUENCE THERAPY - SUMMER ,6
EN5121,MENTORING IN PRACTICE ,9
EN5123,CLIENT FACTORS IN PSYCHOTHERAPY ,6
EN5151,THERAPEUTIC RELATIONSHIP 1 ,6
EN5161,THERAPEUTIC GROUP PROCESS 1 ,6
EN5171,"LEARNING, RELATIONSHIP AND COMMUNICATION ",6
EN5181,PREPARATION FOR SCHOOL PLACEMENT ,6
EN5182,THERAPEUTIC RELATIONSHIPS 2 ,6
EN5191,BUSINESS TEACHING 1 ,6
EN5192,THERAPEUTIC GROUP PROCESS 2 ,6
EN5211,LEADING LEARNING AND TEACHING IN THE IRISH CONTEXT ,12
EN5221,PROFESSIONAL GROWTH AND DEVELOPMENT ,9
EN5231,LEADING SCHOOL DEVELOPMENT: CONTINUITY CHANGE ,9
EN5232,TEACHING LEARNING AND ASSESSMENT IN TECHNOLOGY ,6
EN5241,"BUILDING CULTURE, CAPACITY AND TEAMS ",12
EN5242,"CURRICULUM, POLICY AND REFORM STUDIES ",6
EN5251,DEVELOPING LEADERSHIP CAPACITY ,12
EN5252,"EDUCATION HISTORY, POLICY AND CONTEMPORARY ISSUES ",6
EN5261,MANAGING THE ORGANISATION ,9
EN5262,TEACHER AS PROFESSIONAL ,6
EN5272,BUSINESS TEACHING 2 ,6
EN5282,PROFESSIONAL INQUIRY IN MATHEMATICS EDUCATION ,6
EN5292,LEADING SCHOOL DEVELOPMENT ,9
EN5301,THE SOCIAL CONTEXT OF HIGHER EDUCATION ,6
EN5303,RESEARCH IN ACADEMIC PRACTICE ,9
EN5310,RESEARCH METHODS AND INFORMATION TECHNOLOGY ,3
EN5311,COUNSELLING THEORY AND PRACTICE 1 ,6
EN5312,THEORIES AND SKILLS OF EXPERIENTIAL GRP PROCESSES ,6
EN5313,COUNSELLING THEORY AND PRACTICE 2 ,6
EN5320,THEORY AND PRACTICE OF PSYCHOLOGICAL TESTING ,6
EN5321,Guidance in Adult and Continuing Education ,6
EN5322,LEADING SCHOOL TRANSFORMATION: LOOKING IN OUR ,9
EN5323,EDUC AND PROFESSIONAL ISSUES IN GUIDANCE ,6
EN5331,THE PSYCHOLOGY OF HUMAN DEVELOPMENT ,6
EN5332,MENTORING AND COACHING ,9
EN5334,PROJECT-GDIP GUIDANCE COUNSELLING ,9
EN5400,WORK SHADOWING ,6
EN5401,PROGRAMME DEVELOPMENT AND IMPLEMENTATION ,6
EN5402,RESEARCH METHODS 1 ,6
EN5403,"THE MANAGEMENT, MEANING AND EVALUATION OF CHANGE ",6
EN5410,PROJECT 2 ED/ PROMOTION ,9
EN5411,THEORIES AND PRINCIPLES OF HEALTH ,6
EN5412,STRATEGIES FOR HEALTH AND SOCIAL GAIN ,6
EN5413,KEY THEMES AND ISSUES IN HEALTH ,6
EN5423,PROJECT 1 ED/PROMOTION ,9
EN5501,THE THEORY OF EXISTENTIAL/PHENOMENOLOGICAL PSYCH ,6
EN5502,THE PRACTICE OF EXISTENTIAL/PHENOMENOLOGICAL ,6
EN5503,GESTALT THERAPY ,6
EN5504,THE PSYCHOLOGY OF HUMAN DEVELOPMENT ,6
EN5505,CLINICAL AND PROFESSIONAL ISSUES IN PSYCHOTHERAPY ,6
EN5506,HISTORY OF PSYCHOTHERAPY - A CRITIQUE ,6
EN5511,THE PRACTICE OF EXISTENTIAL PSYCHOTHERAPY ,6
EN5512,GROUP THERAPY 1 ,6
EN5513,GROUP THERAPY 2 ,6
EN5514,GESTALT THERAPY PRACTICE 1 ,6
EN5515,PROFESSIONAL PLACEMENT MODULE 1 ,6
EN5516,PROFESSIONAL PLACEMENT MODULE 2 ,6
EN5522,PSYCHOTHERAPEUTIC ISSUES;SEXUALITY/ILLNESS/DYING ,6
EN5524,GESTALT THERAPY PRACTICE 2 ,6
EN5526,Transpersonal Psychology and Body Pyschotherapy ,6
EN5601,ACADEMIC WRITING 2 ,9
EN5602,PROJECT 1 ,6
EN5603,PROJECT 2 ,6
EN5612,APPLICATION OF ICT TO TEACHING AND LEARNING ,6
EN5621,RECONCEPTUALISING TEACHING AND LEARNING ,6
EN5622,ICT IN THE SCHOOL ,6
EN5631,RESEARCH METHODS 1 ,6
EN5633,MANAGEMENT OF A LOCAL AREA NETWORK (LAN) IN ,6
EN5701,"ACADEMIC PORTFOLIO: TEACHING, LEARNING AND ",15
EN6006,DISSERTATION 2 ,15
EN6010,RESEARCH METHODS 1 ,6
EN6014,DISSERTATION 2 ,12
EN6015,PRACTICUM 2: PRACTICE PLACEMENT ,6
EN6020,EXPLORING EDUCATIONAL LEADERSHIP ,6
EN6021,PROJECT 1 GRAD DIP/MASTERS EDUC MANAGEMENT ,6
EN6022,PROJECT 2 GRAD DIP/MASTERS EDUC MANAGEMENT ,12
EN6023,DISSERTATION 2 ,24
EN6024,PROFESSIONAL PLACEMENT 4 ,6
EN6030,THERAPEUTIC RELATIONSHIP - THE TRANSPERSONAL ,3
EN6031,"TEACHING, LEARNING AND THEIR MILIEU ",6
EN6033,DISSERTATION 2 ,6
EN6034,PRACTICUM 2: EDUCATIONAL PRACTICE PLACEMENT ,3
EN6043,DISSERTATION 1 ,9
EN6044,DISSERTATION 1 ,12
EN6051,THE REFLECTIVE PORTFOLIO AND TEACHER PROFESSIONAL ,9
EN6053,PROFESSIONAL PLACEMENT 3 ,6
EN6054,CURRICULUM POLICY AND REFORM ,6
EN6061,KEY ISSUES IN EDUCATION ,6
EN6062,EDUCATIONAL LEADERSHIP: MACRO PERSPECTIVES ,6
EN6063,"SUSTAINABLE LEADERSHIP: DYNAMICS, RESOURCES, ",9
EN6064,"HISTORY, POLICY AND CONTEMPORARY ISSUES IN ",6
EN6071,POLICY AND PRACTICE OF MENTORING ,12
EN6072,THE REFLECTIVE PORTFOLIO AND EDUCATIONAL ,9
EN6073,BUILDING LEADERSHIP CAPACITY THROUGH COACHING ,12
EN6074,RESEARCH AND PRACTICE PORTFOLIO ,3
EN6081,RESEARCH METHODS IN PSYCHOTHERAPY 2 ,6
EN6082,DISSERTATION 1 ,12
EN6083,DISSERTATION 2 ,12
EN6084,TEACHER AS A PROFESSIONAL PRACTITIONER ,3
EN6091,ADVANCED RESEARCH METHODS ,6
EN6092,PSYCHOTHERAPY INTEGRATION ,6
EN6093,CONTEMPORARY PERSPECTIVES ON VOCATIONAL ,6
EN6094,REPORTING EDUCATIONAL RESEARCH ,6
EN6103,RESEARCH METHODS ,6
EN6104,BUSINESS EDUCATION 2 ,6
EN6111,ADVANCED COUNSELLING THEORY AND PRACTICE ,6
EN6112,DISSERTATION 1 ,15
EN6113,DISSERTATION 2 ,15
EN6114,COUNSELLING THEORY AND PRACTICE 2 ,9
EN6121,PRACTICUM 1:CRITICAL PERSPECTIVES IN GUIDANCE ,6
EN6122,PRACTICUM 2: CASE STUDY ,6
EN6123,GUIDANCE PLANNING IN A VARIETY OF SETTINGS ,6
EN6124,PRACTICUM 1: PRACTICE PLACEMENT ,6
EN6131,DISSERTATION 1 (ICT IN EDUCATION) ,6
EN6132,DISSERTATION 2 (ICT IN EDUCATION) ,6
EN6133,PRACTICUM 1: EDUCATIONAL PRACTICE PLACEMENT ,3
EN6134,CURRICULUM AND PROFESSIONAL AGENCY ,6
EN6141,PROFESSIONAL PRACTICE IN GUIDANCE COUNSELLING ,6
EN6142,THEORY AND SKILLS OF EXPERIENTIAL GROUP LEARNING ,6
EN6143,DISSERTATION 2 ,18
EN6144,SOCIOLOGICAL PERSPECTIVES ON DIVERSITY AND SOCIAL ,6
EN6151,BECOMING A TEACHER: IDENTITY AND AGENCY ,6
EN6152,UNDERSTANDING TEACHING AND LEARNING ,3
EN6153,UNDERSTANDING SCHOOLS ,3
EN6154,HISTORY AND POLICY OF EDUCATION IN CONTEXT ,6
EN6161,UNDERSTANDING LEARNING ,6
EN6162,SCHOOL PLACEMENT 1 ,18
EN6163,SCHOOL PLACEMENT 2 ,18
EN6171,PLANNING FOR SCHOOL PLACEMENT ,6
EN6172,BUSINESS PEDAGOGY 2 ,3
EN6173,BUSINESS PEDAGOGY 3 ,3
EN6181,BUSINESS EDUCATION 1 ,6
EN6182,SCHOOL PLACEMENT 1 ,18
EN6183,UNDERSTANDING SCHOOLS ,6
EN6191,BUSINESS PEDAGOGY 1 ,6
EN6192,THEORY AND SKILLS OF EXPERIENTIAL GROUP LEARNING ,9
EN6193,SCHOOL PLACEMENT 2 ,18
EN6201,DISSERTATION 1 ,12
EN6202,DISSERTATION 2 ,27
EN6203,TEACHER AS RESEARCHER 1 ,6
EN6204,TEACHER AS RESEARCHER 2 ,6
EN6210,RESEARCH METHODS 2 ,6
EN6212,DISSEMINATION OF RESEARCH FINDINGS ,15
EN6213,SCHOOL PLACEMENT 2 ,24
EN6221,COUNSELLING THEORY AND PRACTICE 1 ,9
EN6222,LEADING SCHOOLS: CULTURE AND GLOBALIZATION ,12
EN6231,APPROACHES TO EDUCATIONAL LEADERSHIP FOR THE 21ST ,9
EN6232,"LEADING EDUCATIONAL CHANGE: POLICY, PEOPLE ",9
EN6241,LEADERSHIP OF LEARNING AND TEACHING FOR ,9
EN6242,DIVERSITY OF LEARNING: SPECIAL EDUCATIONAL NEEDS ,6
EN6251,ADVANCED RESEARCH METHODS FOR EDUCATIONAL ,6
EN6252,GRAPHICS PEDAGOGY 2 ,3
